Date : 2022-04-27 02:43:00
Directory : /Users/kadirnacar/github/security
Total : 544 files,  121256 codes, 23515 comments, 13101 blanks, all 157872 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/binarize_wolf.cpp                                           | C++                |        119 |         53 |         44 |        216 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/binarize_wolf.h                                             | C++                |         24 |         18 |         11 |         53 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/cjson.c                                                     | C                  |        457 |         70 |         70 |        597 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/cjson.h                                                     | C++                |         73 |         45 |         26 |        144 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/colorfilter.cpp                                             | C++                |        287 |         38 |         79 |        404 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/colorfilter.h                                               | C++                |         28 |         18 |         15 |         61 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/config.cpp                                                  | C++                |        298 |         26 |         91 |        415 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/config.h                                                    | C++                |        111 |         18 |         53 |        182 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/config_helper.cpp                                           | C++                |        107 |         20 |         33 |        160 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/config_helper.h                                             | C++                |         19 |         20 |         10 |         49 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/constants.h                                                 | C++                |         15 |         18 |          8 |         41 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detector.cpp                                      | C++                |        161 |         41 |         59 |        261 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detector.h                                        | C++                |         32 |         18 |         23 |         73 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detector_types.h                                  | C++                |         11 |         18 |          6 |         35 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorcpu.cpp                                   | C++                |         36 |         20 |         24 |         80 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorcpu.h                                     | C++                |         22 |         18 |         14 |         54 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorcuda.cpp                                  | C++                |         46 |         19 |         21 |         86 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorcuda.h                                    | C++                |         26 |         18 |         19 |         63 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorfactory.cpp                               | C++                |         42 |          1 |          4 |         47 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorfactory.h                                 | C++                |         10 |         18 |          7 |         35 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectormask.cpp                                  | C++                |        101 |         32 |         33 |        166 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectormask.h                                    | C++                |         30 |         18 |         21 |         69 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectormorph.cpp                                 | C++                |        146 |         32 |         55 |        233 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectormorph.h                                   | C++                |         22 |         18 |         13 |         53 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorocl.cpp                                   | C++                |         98 |         20 |         32 |        150 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/detection/detectorocl.h                                     | C++                |         25 |         18 |         16 |         59 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/edgefinder.cpp                                        | C++                |        221 |         35 |         90 |        346 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/edgefinder.h                                          | C++                |         23 |         18 |         14 |         55 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/platecorners.cpp                                      | C++                |        226 |         50 |         90 |        366 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/platecorners.h                                        | C++                |         41 |         18 |         21 |         80 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/platelines.cpp                                        | C++                |        162 |         31 |         58 |        251 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/platelines.h                                          | C++                |         33 |         18 |         15 |         66 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/scorekeeper.cpp                                       | C++                |         45 |         19 |         23 |         87 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/scorekeeper.h                                         | C++                |         22 |         18 |         15 |         55 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/textlinecollection.cpp                                | C++                |         89 |         19 |         57 |        165 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/textlinecollection.h                                  | C++                |         29 |          6 |         19 |         54 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/licenseplatecandidate.cpp                                   | C++                |         76 |         25 |         42 |        143 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/licenseplatecandidate.h                                     | C++                |         32 |         18 |         17 |         67 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/motiondetector.cpp                                          | C++                |         65 |         10 |         12 |         87 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/motiondetector.h                                            | C++                |         18 |          0 |          5 |         23 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocr.cpp                                                 | C++                |         29 |         18 |         15 |         62 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocr.h                                                   | C++                |         25 |         18 |         12 |         55 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocrfactory.cpp                                          | C++                |          9 |          0 |          4 |         13 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocrfactory.h                                            | C++                |          9 |         18 |          7 |         34 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/charactersegmenter.cpp                     | C++                |        726 |        134 |        226 |      1,086 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/charactersegmenter.h                       | C++                |         50 |         18 |         26 |         94 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogram.cpp                              | C++                |        177 |         25 |         56 |        258 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogram.h                                | C++                |         26 |         20 |         15 |         61 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramhorizontal.cpp                    | C++                |          7 |         18 |          3 |         28 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramhorizontal.h                      | C++                |         13 |         18 |          5 |         36 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramvertical.cpp                      | C++                |         10 |         18 |          9 |         37 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramvertical.h                        | C++                |         14 |         18 |         12 |         44 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segment.cpp                                | C++                |         25 |         19 |         10 |         54 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segment.h                                  | C++                |         17 |         18 |         12 |         47 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segmentationgroup.cpp                      | C++                |         25 |         18 |         11 |         54 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segmentationgroup.h                        | C++                |         21 |         18 |         16 |         55 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/tesseract_ocr.cpp                                       | C++                |        102 |         25 |         36 |        163 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/tesseract_ocr.h                                         | C++                |         27 |         18 |         17 |         62 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/pipeline_data.cpp                                           | C++                |         45 |          0 |         10 |         55 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/pipeline_data.h                                             | C++                |         42 |          6 |         29 |         77 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/postprocess.cpp                                 | C++                |        313 |         44 |         71 |        428 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/postprocess.h                                   | C++                |         61 |         18 |         27 |        106 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/regexrule.cpp                                   | C++                |         93 |         20 |         32 |        145 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/regexrule.h                                     | C++                |         27 |         18 |          9 |         54 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/prewarp.cpp                                                 | C++                |        199 |         30 |         74 |        303 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/prewarp.h                                                   | C++                |         30 |         18 |         18 |         66 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/result_aggregator.cpp                                       | C++                |        269 |         51 |         86 |        406 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/result_aggregator.h                                         | C++                |         50 |         19 |         25 |         94 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/ConvertUTF.c                                      | C                  |        365 |        138 |         37 |        540 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/ConvertUTF.h                                      | C++                |         46 |         89 |         17 |        152 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/README.md                                         | Markdown           |        119 |          0 |         32 |        151 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/simpleini.h                                       | C++                |      2,135 |      1,192 |        180 |      3,507 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/snippets.cpp                                      | C++                |         65 |         33 |         27 |        125 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/fast_mutex.h                                        | C++                |        174 |         59 |         16 |        249 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/filesystem.cpp                                      | C++                |        195 |         13 |         53 |        261 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/filesystem.h                                        | C++                |         41 |          0 |         14 |         55 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/platform.cpp                                        | C++                |         49 |          0 |          7 |         56 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/platform.h                                          | C++                |         15 |          0 |          8 |         23 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2.h                                               | C++                |        353 |        429 |        102 |        884 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/bitstate.cc                                     | C++                |        255 |         80 |         46 |        381 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/compile.cc                                      | C++                |        776 |        200 |        169 |      1,145 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/dfa.cc                                          | C++                |      1,251 |        639 |        223 |      2,113 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/filtered_re2.cc                                 | C++                |         88 |          3 |         17 |        108 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/filtered_re2.h                                  | C++                |         37 |         49 |         24 |        110 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/mimics_pcre.cc                                  | C++                |        107 |         50 |         29 |        186 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/nfa.cc                                          | C++                |        523 |        135 |        100 |        758 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/onepass.cc                                      | C++                |        340 |        210 |         61 |        611 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/parse.cc                                        | C++                |      1,586 |        475 |        224 |      2,285 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/perl_groups.cc                                  | C++                |        113 |          2 |          5 |        120 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter.cc                                    | C++                |        513 |         84 |        113 |        710 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter.h                                     | C++                |         47 |         28 |         31 |        106 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter_tree.cc                               | C++                |        310 |         39 |         53 |        402 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter_tree.h                                | C++                |         41 |         61 |         30 |        132 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prog.cc                                         | C++                |        266 |         26 |         52 |        344 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prog.h                                          | C++                |        213 |        108 |         61 |        382 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/re2.cc                                          | C++                |        994 |        121 |        132 |      1,247 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/regexp.cc                                       | C++                |        724 |         94 |        120 |        938 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/regexp.h                                        | C++                |        286 |        243 |        105 |        634 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/set.cc                                          | C++                |         95 |          4 |         15 |        114 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/set.h                                           | C++                |         25 |         19 |         12 |         56 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/simplify.cc                                     | C++                |        278 |         71 |         44 |        393 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/stringpiece.cc                                  | C++                |         72 |          4 |         16 |         92 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/stringpiece.h                                   | C++                |        121 |         33 |         32 |        186 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/tostring.cc                                     | C++                |        261 |         30 |         51 |        342 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_casefold.cc                             | C++                |        465 |          4 |         12 |        481 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_casefold.h                              | C++                |         23 |         39 |         14 |         76 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_groups.cc                               | C++                |      5,066 |          3 |         10 |      5,079 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_groups.h                                | C++                |         31 |         20 |         14 |         65 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/atomicops.h                                | C++                |         90 |         26 |         49 |        165 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/benchmark.h                                | C++                |         30 |          3 |          9 |         42 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/flags.h                                    | C++                |         13 |          7 |          8 |         28 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/hash.cc                                    | C++                |         79 |        136 |         17 |        232 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/logging.h                                  | C++                |         67 |          6 |         14 |         87 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/mutex.h                                    | C++                |        135 |         41 |         38 |        214 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/pcre.h                                     | C++                |        297 |        318 |         65 |        680 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/random.h                                   | C++                |         15 |          5 |         10 |         30 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/rune.cc                                    | C++                |        169 |         60 |         30 |        259 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/sparse_array.h                             | C++                |        239 |        155 |         60 |        454 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/sparse_set.h                               | C++                |        103 |         62 |         24 |        189 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/stringprintf.cc                            | C++                |         65 |         13 |         15 |         93 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/strutil.cc                                 | C++                |         68 |         23 |         12 |        103 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/test.h                                     | C++                |         37 |          4 |         10 |         51 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/thread.h                                   | C++                |         17 |          3 |          7 |         27 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/utf.h                                      | C++                |         20 |         16 |          8 |         44 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/util.h                                     | C++                |        112 |         11 |         32 |        155 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/valgrind.cc                                | C++                |         18 |          3 |          6 |         27 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/valgrind.h                                 | C++                |      3,823 |        423 |        272 |      4,518 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/variadic_function.h                             | C++                |        304 |          3 |         38 |        345 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/walker-inl.h                                    | C++                |        144 |         64 |         37 |        245 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/timing.cpp                                          | C++                |        164 |          4 |         38 |        206 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/timing.h                                            | C++                |         30 |          2 |         13 |         45 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/tinydir.h                                           | C++                |        346 |         31 |         23 |        400 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/tinythread.cpp                                      | C++                |        190 |         71 |         43 |        304 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/tinythread.h                                        | C++                |        376 |        255 |         84 |        715 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/utf8.cpp                                            | C++                |         22 |          0 |          1 |         23 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/utf8.h                                              | C++                |          7 |         24 |          7 |         38 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/utf8/checked.h                                      | C++                |        258 |         35 |         35 |        328 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/utf8/core.h                                         | C++                |        224 |         44 |         62 |        330 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/utf8/unchecked.h                                    | C++                |        178 |         28 |         23 |        229 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/version.cpp                                         | C++                |         23 |          0 |          7 |         30 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/version.h                                           | C++                |          6 |          5 |          7 |         18 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/characteranalysis.cpp                         | C++                |        476 |         50 |        157 |        683 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/characteranalysis.h                           | C++                |         36 |         18 |         20 |         74 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/linefinder.cpp                                | C++                |        303 |         37 |        126 |        466 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/linefinder.h                                  | C++                |         32 |         23 |         16 |         71 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/platemask.cpp                                 | C++                |        133 |         32 |         38 |        203 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/platemask.h                                   | C++                |         20 |         18 |         14 |         52 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/textcontours.cpp                              | C++                |         85 |         18 |         38 |        141 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/textcontours.h                                | C++                |         27 |         18 |         17 |         62 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/textline.cpp                                  | C++                |         78 |         22 |         37 |        137 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/textdetection/textline.h                                    | C++                |         27 |         18 |         15 |         60 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/transformation.cpp                                          | C++                |         86 |         24 |         38 |        148 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/transformation.h                                            | C++                |         25 |         18 |         14 |         57 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/utility.cpp                                                 | C++                |        455 |         80 |        107 |        642 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/utility.h                                                   | C++                |         70 |         21 |         35 |        126 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/plate_push.py                                                        | Python             |          6 |          1 |          7 |         14 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/featurematcher.cpp                                    | C++                |        267 |         67 |         67 |        401 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/featurematcher.h                                      | C++                |         42 |         18 |         22 |         82 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/line_segment.cpp                                      | C++                |        108 |         22 |         32 |        162 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/line_segment.h                                        | C++                |         31 |         19 |         18 |         68 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/state_detector.cpp                                    | C++                |         24 |         18 |         11 |         53 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/state_detector.h                                      | C++                |         23 |         20 |         13 |         56 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/state_detector_impl.cpp                               | C++                |         44 |         18 |         21 |         83 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/statedetection/state_detector_impl.h                                 | C++                |         20 |         19 |         11 |         50 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/Arg.h                                                          | C++                |        350 |        274 |         92 |        716 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/ArgException.h                                                 | C++                |         93 |         87 |         28 |        208 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/ArgTraits.h                                                    | C++                |         31 |         50 |         13 |         94 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/CmdLine.h                                                      | C++                |        342 |        193 |         89 |        624 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/CmdLineInterface.h                                             | C++                |         35 |         89 |         28 |        152 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/CmdLineOutput.h                                                | C++                |         23 |         38 |         15 |         76 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/Constraint.h                                                   | C++                |         24 |         38 |         11 |         73 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/DocBookOutput.h                                                | C++                |        198 |         48 |         25 |        271 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/HelpVisitor.h                                                  | C++                |         26 |         41 |         15 |         82 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/IgnoreRestVisitor.h                                            | C++                |         17 |         29 |         11 |         57 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/MultiArg.h                                                     | C++                |        230 |        165 |         42 |        437 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/MultiSwitchArg.h                                               | C++                |         95 |         87 |         31 |        213 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/OptionalUnlabeledTracker.h                                     | C++                |         35 |         19 |         19 |         73 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/StandardTraits.h                                               | C++                |        107 |         86 |         32 |        225 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/StdOutput.h                                                    | C++                |        166 |         78 |         24 |        268 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/SwitchArg.h                                                    | C++                |        125 |        102 |         31 |        258 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/UnlabeledMultiArg.h                                            | C++                |        140 |        125 |         31 |        296 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/UnlabeledValueArg.h                                            | C++                |        150 |        153 |         32 |        335 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/ValueArg.h                                                     | C++                |        206 |        181 |         38 |        425 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/ValuesConstraint.h                                             | C++                |         73 |         47 |         25 |        145 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/VersionVisitor.h                                               | C++                |         26 |         42 |         16 |         84 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/Visitor.h                                                      | C++                |         13 |         31 |         11 |         55 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/XorHandler.h                                                   | C++                |         73 |         65 |         26 |        164 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tclap/ZshCompletionOutput.h                                          | C++                |        242 |         43 |         26 |        311 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tests/catch.hpp                                                      | C++                |      8,114 |        379 |      1,708 |     10,201 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tests/test_api.cpp                                                   | C++                |         70 |          6 |         20 |         96 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tests/test_config.cpp                                                | C++                |         37 |          6 |         24 |         67 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tests/test_regex.cpp                                                 | C++                |         77 |          0 |         31 |        108 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/tests/test_utility.cpp                                               | C++                |         42 |         10 |         14 |         66 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/video/logging_videobuffer.h                                          | C++                |         40 |          0 |         11 |         51 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/video/videobuffer.cpp                                                | C++                |        140 |         32 |         48 |        220 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/video/videobuffer.h                                                  | C++                |         77 |          4 |         38 |        119 |
| /Users/kadirnacar/github/security/alpr/webservice/README.md                                                              | Markdown           |        104 |          0 |          3 |        107 |
| /Users/kadirnacar/github/security/alpr/webservice/openalpr_web.py                                                        | Python             |         26 |          0 |         16 |         42 |
| /Users/kadirnacar/github/security/babel.config.json                                                                      | JSON with Comments |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/Gruntfile.js                                                   | JavaScript         |         33 |         24 |          4 |         61 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/README.md                                                      | Markdown           |         45 |          0 |         25 |         70 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/dist/fisheyegl.js                                              | JavaScript         |        410 |          9 |         72 |        491 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/example/index.html                                             | HTML               |        102 |          0 |          1 |        103 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/example/main.js                                                | JavaScript         |         88 |          7 |         22 |        117 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/example/urlHash.js                                             | JavaScript         |         30 |          2 |         11 |         43 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/package.json                                                   | JSON               |         31 |          0 |          1 |         32 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/fisheyegl.js                                               | JavaScript         |        223 |         10 |         58 |        291 |
